Dien_tich,Phong_ngu,Phong_tam,Noi_that,So_nam_su_dung,Ban_cong,Cach_trung_tam,Gan_benh_vien,Gan_truong_hoc,Gan_mua_sam_giai_tri,Gia_can_ho
84,3,2,1,4,1,2,1,1,1,6.9
60,2,1,0,3,1,4,1,1,1,3.65
90,3,1,1,3,1,7,0,1,0,4.8
54,1,1,1,5,0,8,1,1,0,3
92,3,2,1,2,1,5,1,0,0,6.05
91,2,2,1,2,1,15,0,1,1,5.1
64,2,1,0,1,1,4,1,1,1,3.8
74,2,1,1,3,0,5,1,1,0,4.25
48,1,1,1,4,1,8,1,1,0,2.8
95,3,3,0,6,1,18,0,1,1,5.82
80,2,1,1,3,1,5,0,0,1,4.5
70,2,1,1,3,1,9,1,0,1,3.85
60,1,1,1,4,0,10,1,1,1,3.2
91,3,2,0,5,1,12,1,1,0,5.25
96,2,2,0,8,1,4,1,1,0,5.85
40,1,1,1,2,0,10,0,0,1,2.2
64,2,1,0,1,1,9,1,1,1,3.4
65,2,1,1,4,1,3,1,1,0,4
50,1,1,1,5,0,20,0,1,0,1.85
100,4,3,1,5,1,6,0,1,1,7.18
70,2,1,0,9,1,2,1,1,1,4.1
55,2,1,0,1,1,1,1,0,1,3.55
37,1,1,0,2,0,5,1,1,1,2.32
45,1,1,1,4,1,6,0,0,1,2.72
60,2,1,1,6,1,8,0,1,1,3.35
68,2,1,0,3,0,4,1,1,0,3.85
80,2,2,1,2,1,9,0,1,1,5.1
45,1,1,1,2,1,6,1,0,1,2.8
85,2,2,0,5,1,11,1,1,1,5
50,1,1,0,3,0,2,1,1,1,3.15
68,1,1,0,2,1,9,1,1,0,3.5
55,1,1,1,7,0,3,0,1,1,3.33
84,3,2,0,2,1,2,1,0,1,5.68
70,2,2,1,3,1,4,0,1,0,4.89
98,3,2,1,1,1,4,1,1,1,6.4
80,2,2,0,6,1,14,1,0,1,4.5
52,2,1,1,3,0,8,0,1,0,3
75,2,1,0,2,1,6,1,1,1,4.15
90,3,2,1,4,1,4,1,1,1,6.4
86,2,1,1,2,1,3,1,1,1,5.2
