Area,Frontage,Access Road,House direction,Balcony direction,Floors,Bedrooms,Bathrooms,Legal status,Furniture state,Price
54,5.8,3,7,7,4,6,6,1,1,8.8
36,7,3,6,6,5,3,4,1,1,5.6
33,3,2,7,7,5,3,4,1,1,4.48
33,4.5,2.5,2,2,5,3,4,1,1,4.15
53,4.3,22,0,0,5,6,5,1,0,6.39
45,3.5,2,4,5,4,4,3,1,0,4.95
30,6,2,0,0,6,3,4,1,0,4.6
42,5.6,3,0,0,5,3,4,1,0,8.5
40,4.25,3,6,6,5,4,4,1,1,6.3
34,4.25,3,3,3,3,3,3,1,0,2.1
40,3.7,4,4,4,6,4,4,1,0,3.25
30,3.4,4,6,6,5,3,4,1,1,4.1
45,4.3,5,2,2,3,3,3,1,1,2.65
31,3.6,3,7,7,5,4,3,1,0,4.55
35,4,5,0,0,4,4,3,1,0,6.5
36,4,5,5,6,3,3,3,1,1,3
33,4,4,2,2,5,4,4,1,1,5
35,4,4,5,5,3,4,3,1,1,2.4
70,7,2.5,7,6,4,4,4,1,1,9.8
37,4.6,3.5,3,3,6,4,3,1,1,7.5
